ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Floor_Ratio,School_Density_Score,Infra_Score,Amenity_Score,RERA_Ready,Future_Price_5Y,Good_Investment,State_enc,City_enc,Locality_enc,Property_Type_enc,Furnished_Status_enc,Facing_enc,Owner_Type_enc,Availability_Status_enc,Security_enc,Amenities_enc
432,Maharashtra,Mumbai,Kondapur,Villa,1,428,33.36,7794.39,1992,Semi-Furnished,8.0,17,32,6.0,1,2,2,Guard,Clubhouse,North-East,Individual,Sold,0.4444444444444444,68.0,2.8999999999999995,2,0,55.96,0,3,13,8,4,1,2,2,1,2,1
433,West Bengal,Kolkata,Gomti Nagar,House,2,964,66.66,6914.94,2004,Semi-Furnished,10.0,14,20,0.0,7,4,2,Gated,Gym+Pool,South,Individual,Under Construction,0.6666666666666666,56.0,3.7,4,0,115.91,1,7,11,4,1,1,3,2,2,1,3
434,Tamil Nadu,Coimbatore,Banjara Hills,Studio,2,1015,109.98,10835.47,2014,Fully Furnished,11.0,16,10,5.0,2,9,1,CCTV,Gym,North,Builder,Under Construction,0.6470588235294118,66.0,5.699999999999999,2,0,208.99,0,5,3,1,3,0,1,1,2,0,2
435,Maharashtra,Mumbai,HSR Layout,Penthouse,3,1345,140.26,10428.25,2022,Unfurnished,1.0,2,2,9.0,1,9,3,Guard,All,West,Builder,Under Construction,0.3333333333333333,98.0,6.6,5,0,277.24,1,3,13,5,2,2,5,1,2,2,0
436,West Bengal,Howrah,Banjara Hills,Apartment,2,1016,67.09,6603.35,2017,Semi-Furnished,22.0,26,7,4.0,1,1,3,Guard,Gym+Pool,North,Builder,Under Construction,0.8148148148148148,48.0,1.9000000000000001,4,0,107.56,1,7,5,1,0,1,1,1,2,2,3
437,Rajasthan,Jaipur,Indiranagar,Apartment,1,550,32.48,5905.45,1999,Unfurnished,8.0,17,25,3.0,7,1,0,CCTV,All,South,Builder,Under Construction,0.4444444444444444,86.0,3.4,5,0,55.72,1,4,8,6,0,2,3,1,2,0,0
438,Rajasthan,Jaipur,Gomti Nagar,Apartment,2,1275,148.56,11651.76,1999,Semi-Furnished,21.0,25,25,6.0,1,9,1,Guard,All,North-East,Builder,Under Construction,0.8076923076923077,68.0,5.7,5,0,282.3,0,4,8,4,0,1,2,1,2,2,0
439,Karnataka,Hubli,Kondapur,Apartment,4,1634,58.69,3591.8,2017,Unfurnished,22.0,30,7,5.0,7,3,1,CCTV,Pool,West,Individual,Available,0.7096774193548387,106.0,4.800000000000001,3,1,107.18,1,2,6,8,0,2,5,2,0,0,4
440,Tamil Nadu,Coimbatore,Satellite,Penthouse,3,1169,93.29,7980.33,2012,Unfurnished,21.0,30,12,8.0,6,7,0,Guard,Gym+Pool,East,Builder,Available,0.6774193548387096,128.0,7.0,4,1,187.64,1,5,3,12,2,2,0,1,0,2,3
441,Karnataka,Bangalore,Andheri,Villa,4,1677,166.59,9933.81,2017,Semi-Furnished,20.0,26,7,1.0,7,3,2,CCTV,All,South-West,Individual,Under Construction,0.7407407407407407,66.0,3.6000000000000005,5,0,288.38,1,2,1,0,4,1,4,2,2,0,0
442,Karnataka,Mysore,Indiranagar,Apartment,3,1351,117.45,8693.56,1995,Semi-Furnished,13.0,21,29,2.0,2,5,2,CCTV,Gym+Pool,South,Agent,Under Construction,0.5909090909090909,36.0,3.2,4,0,199.7,0,2,14,6,0,1,3,0,2,0,3
443,Delhi,Dwarka,Thane,Apartment,3,1454,79.08,5438.79,2020,Semi-Furnished,2.0,4,4,8.0,0,1,1,Gated,All,West,Individual,Under Construction,0.4,80.0,2.8,5,0,132.06,1,0,4,13,0,1,5,2,2,1,0
444,West Bengal,Siliguri,Andheri,Villa,2,1007,100.82,10011.92,1997,Unfurnished,5.0,7,27,2.0,7,7,1,Guard,Clubhouse,North,Agent,Available,0.625,76.0,5.5,2,1,189.9,0,7,19,0,4,2,1,0,0,2,1
445,Rajasthan,Jodhpur,Satellite,Apartment,2,910,43.26,4753.85,2016,Fully Furnished,10.0,15,8,8.0,0,4,2,,All,North,Agent,Available,0.625,80.0,4.0,5,1,76.24,1,4,9,12,0,0,1,0,0,3,0
446,Karnataka,Mysore,Indiranagar,Studio,4,1538,68.21,4434.98,2007,Semi-Furnished,10.0,11,17,6.0,3,9,2,CCTV,Pool,West,Individual,Under Construction,0.8333333333333334,84.0,6.300000000000001,3,0,133.07,1,2,14,6,3,1,5,2,2,0,4
447,Maharashtra,Nagpur,Banjara Hills,House,4,1813,107.3,5918.37,2019,Fully Furnished,6.0,7,5,7.0,3,9,0,CCTV,Gym,South-West,Agent,Available,0.75,94.0,6.6,2,1,212.09,1,3,15,1,1,0,4,0,0,0,2
448,Delhi,Rohini,Electronic City,House,3,1194,67.8,5678.39,1995,Fully Furnished,0.0,6,29,5.0,4,6,3,CCTV,Pool,North-East,Individual,Available,0.0,82.0,5.1000000000000005,3,1,125.47,1,0,18,2,1,0,2,2,0,0,4
449,Telangana,Warangal,Whitefield,Apartment,2,778,77.73,9991.0,1990,Unfurnished,14.0,15,34,5.0,0,1,0,Gated,Gym,South-West,Agent,Sold,0.875,50.0,1.9,2,0,124.62,0,6,23,14,0,2,4,0,1,1,2
450,Delhi,New Delhi,Jubilee Hills,Apartment,2,1183,125.55,10612.85,1992,Semi-Furnished,16.0,19,32,1.0,1,9,3,,Gym+Pool,South-West,Individual,Sold,0.8,18.0,4.2,4,0,223.24,1,0,16,7,0,1,4,2,1,3,3
451,Delhi,Dwarka,Andheri,House,3,1185,85.98,7255.7,2022,Fully Furnished,15.0,22,2,3.0,5,8,0,Gated,All,South-West,Individual,Available,0.6521739130434783,70.0,5.6,5,1,162.66,1,0,4,0,1,0,4,2,0,1,0
452,Delhi,New Delhi,Gachibowli,Apartment,3,1304,74.28,5696.32,1999,Fully Furnished,11.0,20,25,2.0,4,5,1,Guard,Clubhouse,West,Individual,Under Construction,0.5238095238095238,52.0,3.8,2,0,129.74,1,0,16,3,0,0,5,2,2,2,1
453,West Bengal,Howrah,Gomti Nagar,Apartment,3,1579,159.59,10107.03,2016,Unfurnished,4.0,5,8,2.0,3,5,1,CCTV,All,East,Agent,Sold,0.6666666666666666,44.0,3.5,5,0,275.03,0,7,5,4,0,2,0,0,1,0,0
454,Rajasthan,Jaipur,Indiranagar,Villa,4,1956,148.29,7581.29,2010,Semi-Furnished,8.0,10,14,9.0,3,8,2,Guard,All,North-East,Individual,Available,0.7272727272727273,114.0,6.800000000000001,5,1,295.68,1,4,8,6,4,1,2,2,0,2,0
455,Delhi,New Delhi,Andheri,House,3,1579,267.4,16934.77,2000,Fully Furnished,0.0,1,24,6.0,7,5,2,Gated,Gym,North,Agent,Under Construction,0.0,116.0,5.9,2,0,512.6,0,0,16,0,1,0,1,0,2,1,2
456,Karnataka,Bangalore,Kondapur,Apartment,3,1351,167.55,12401.92,1992,Semi-Furnished,23.0,30,32,8.0,0,7,1,Gated,Gym+Pool,North-East,Individual,Under Construction,0.7419354838709677,80.0,5.2,4,0,311.44,1,2,1,8,0,1,2,2,2,1,3
457,Karnataka,Hubli,Whitefield,Apartment,2,940,68.36,7272.34,1993,Unfurnished,20.0,24,31,2.0,4,4,2,Guard,Pool,East,Individual,Sold,0.8,52.0,3.4000000000000004,3,0,117.28,1,2,6,14,0,2,0,2,1,2,4
458,Maharashtra,Nagpur,Salt Lake,Apartment,4,1665,177.57,10664.86,1992,Fully Furnished,12.0,7,32,8.0,0,4,0,Guard,Gym,South,Individual,Available,1.5,80.0,4.0,2,1,312.94,0,3,15,11,0,0,3,2,0,2,2
459,Gujarat,Vadodara,Satellite,Villa,2,777,62.62,8059.2,2013,Fully Furnished,10.0,19,11,6.0,3,3,0,CCTV,Gym,South-West,Individual,Available,0.5,84.0,3.9,2,1,109.87,1,1,22,12,4,0,4,2,0,0,2
460,Maharashtra,Nagpur,Gachibowli,Penthouse,3,1398,152.13,10881.97,2001,Fully Furnished,22.0,25,23,5.0,6,1,0,,All,South-West,Individual,Available,0.8461538461538461,98.0,3.6999999999999997,5,1,264.53,1,3,15,3,2,0,4,2,0,3,0
461,Maharashtra,Mumbai,Whitefield,House,1,427,37.5,8782.2,2017,Fully Furnished,18.0,25,7,0.0,1,1,3,Guard,All,West,Agent,Sold,0.6923076923076923,8.0,0.7,5,0,56.91,1,3,13,14,1,0,5,0,1,2,0
462,Telangana,Hyderabad,Satellite,Villa,4,1959,109.05,5566.62,1994,Unfurnished,16.0,24,30,5.0,3,2,0,Gated,Gym+Pool,North-East,Agent,Available,0.64,74.0,3.1999999999999997,4,1,185.42,1,6,7,12,4,2,2,0,0,1,3
463,Rajasthan,Jodhpur,Electronic City,Villa,2,894,104.36,11673.38,2015,Fully Furnished,22.0,24,9,3.0,1,1,1,Guard,Pool,West,Individual,Available,0.88,38.0,1.5999999999999999,3,1,165.04,0,4,9,2,4,0,5,2,0,2,4
464,Gujarat,Ahmedabad,Andheri,House,2,668,80.57,12061.38,2010,Semi-Furnished,18.0,27,14,5.0,2,1,3,CCTV,All,North-East,Agent,Available,0.6428571428571429,66.0,2.5,5,1,132.73,0,1,0,0,1,1,2,0,0,0,0
465,Maharashtra,Mumbai,Powai,Penthouse,4,2029,362.2,17851.16,2014,Semi-Furnished,5.0,9,10,3.0,2,7,2,Gated,All,West,Agent,Available,0.5,46.0,4.3,5,1,646.92,1,3,13,10,2,1,5,0,0,1,0
466,Maharashtra,Mumbai,HSR Layout,Villa,3,1274,220.76,17328.1,2021,Unfurnished,6.0,7,3,6.0,4,8,3,,Gym+Pool,South-West,Builder,Available,0.75,92.0,6.2,4,1,428.8,1,3,13,5,4,2,4,1,0,3,3
467,West Bengal,Howrah,Koramangala,House,1,493,47.19,9572.01,2005,Semi-Furnished,19.0,20,19,2.0,4,6,0,,Pool,East,Builder,Under Construction,0.9047619047619048,52.0,4.2,3,0,83.91,0,7,5,9,1,1,0,1,2,3,4
468,Telangana,Karimnagar,Koramangala,Apartment,2,719,76.5,10639.78,2005,Unfurnished,17.0,18,19,1.0,0,3,1,Guard,Clubhouse,East,Individual,Under Construction,0.8947368421052632,10.0,1.5000000000000002,2,0,120.43,0,6,10,9,0,2,0,2,2,2,1
469,Karnataka,Mysore,Salt Lake,Apartment,4,1835,184.57,10058.31,1996,Unfurnished,13.0,18,28,8.0,7,6,1,Gated,Clubhouse,West,Builder,Available,0.6842105263157895,136.0,6.9,2,1,369.62,1,2,14,11,0,2,5,1,0,1,1
470,Maharashtra,Mumbai,Jubilee Hills,House,1,484,69.19,14295.45,2011,Unfurnished,17.0,25,13,8.0,0,2,1,CCTV,All,East,Builder,Under Construction,0.6538461538461539,80.0,3.2,5,0,117.64,0,3,13,7,1,2,0,1,2,0,0
471,Tamil Nadu,Chennai,Gachibowli,Penthouse,4,1941,231.86,11945.39,2011,Semi-Furnished,16.0,23,13,5.0,3,1,0,Gated,Clubhouse,South,Individual,Available,0.6666666666666666,74.0,2.8,2,1,387.19,0,5,2,3,2,1,3,2,0,1,1
472,Maharashtra,Mumbai,Indiranagar,House,3,1370,167.78,12246.72,1996,Semi-Furnished,22.0,30,28,4.0,4,1,1,CCTV,All,North,Individual,Under Construction,0.7096774193548387,72.0,2.8,5,0,280.18,0,3,13,6,1,1,1,2,2,0,0
473,Rajasthan,Jaipur,Thane,Apartment,2,1012,80.39,7943.68,1994,Semi-Furnished,12.0,13,30,6.0,7,3,2,CCTV,Pool,East,Builder,Under Construction,0.8571428571428571,116.0,5.1,3,0,148.77,0,4,8,13,0,1,0,1,2,0,4
474,Tamil Nadu,Madurai,Koramangala,Villa,3,1353,112.85,8340.72,2017,Semi-Furnished,24.0,27,7,2.0,3,1,0,,All,North-East,Builder,Available,0.8571428571428571,44.0,1.9,5,1,180.92,1,5,12,9,4,1,2,1,0,3,0
475,Maharashtra,Mumbai,Salt Lake,Apartment,3,1497,124.7,8329.99,2019,Unfurnished,18.0,27,5,4.0,4,7,3,Guard,All,South,Individual,Sold,0.6428571428571429,72.0,5.2,5,0,231.79,1,3,13,11,0,2,3,2,1,2,0
476,Karnataka,Mysore,Thane,Villa,1,546,38.02,6963.37,1990,Semi-Furnished,7.0,13,34,1.0,7,6,3,,All,North,Agent,Available,0.5,66.0,4.800000000000001,5,1,69.43,1,2,14,13,4,1,1,0,0,3,0
477,Delhi,Rohini,Jubilee Hills,Apartment,2,926,73.06,7889.85,2008,Semi-Furnished,7.0,15,16,4.0,7,8,2,Gated,Pool,North,Builder,Available,0.4375,96.0,6.5,3,1,143.78,1,0,18,7,0,1,1,1,0,1,4
478,Karnataka,Bangalore,Whitefield,Apartment,3,1504,104.42,6942.82,2022,Semi-Furnished,9.0,15,2,8.0,4,2,1,Gated,Gym,North-East,Individual,Under Construction,0.5625,112.0,4.4,2,0,187.33,1,2,1,14,0,1,2,2,2,1,2
479,Karnataka,Mysore,Satellite,House,3,1292,139.44,10792.57,2018,Semi-Furnished,15.0,20,6,9.0,2,7,1,CCTV,All,South-West,Agent,Available,0.7142857142857143,106.0,6.1,5,1,269.66,1,2,14,12,1,1,4,0,0,0,0
480,West Bengal,Kolkata,Indiranagar,Apartment,5,1938,148.42,7658.41,2008,Unfurnished,13.0,19,16,4.0,0,3,0,Gated,Clubhouse,West,Builder,Sold,0.65,40.0,2.4000000000000004,2,0,243.41,1,7,11,6,0,2,5,1,1,1,1
481,Delhi,Dwarka,Gomti Nagar,Apartment,2,792,34.92,4409.09,2017,Semi-Furnished,17.0,20,7,9.0,0,7,0,Gated,Clubhouse,West,Builder,Available,0.8095238095238095,90.0,5.5,2,1,65.77,1,0,4,4,0,1,5,1,0,1,1
482,Delhi,Dwarka,Koramangala,House,1,398,35.28,8864.32,2007,Fully Furnished,16.0,18,17,6.0,6,6,0,Gated,Gym+Pool,West,Agent,Available,0.8421052631578947,108.0,6.0,4,1,67.93,1,0,4,9,1,0,5,0,0,1,3
483,Maharashtra,Pune,Kondapur,Apartment,4,1776,185.48,10443.69,2006,Semi-Furnished,12.0,22,18,2.0,1,3,2,,Pool,North-East,Builder,Under Construction,0.5217391304347826,28.0,2.1,3,0,300.08,0,3,17,8,0,1,2,1,2,3,4
484,Rajasthan,Jaipur,Whitefield,Apartment,3,1168,65.71,5625.86,2008,Semi-Furnished,10.0,15,16,1.0,1,7,0,,Pool,East,Individual,Available,0.625,18.0,3.4,3,1,112.73,1,4,8,14,0,1,0,2,0,3,4
485,Telangana,Hyderabad,Gomti Nagar,Apartment,2,943,90.99,9648.99,1996,Semi-Furnished,8.0,16,28,2.0,0,2,2,Gated,Gym+Pool,South,Builder,Available,0.47058823529411764,20.0,1.4,4,1,142.59,1,6,7,4,0,1,3,1,0,1,3
486,Gujarat,Surat,Electronic City,Apartment,3,1343,148.35,11046.17,2020,Semi-Furnished,12.0,18,4,2.0,7,2,2,Guard,Clubhouse,South-West,Individual,Available,0.631578947368421,76.0,3.5,2,1,255.66,0,1,20,2,0,1,4,2,0,2,1
487,Delhi,New Delhi,Gomti Nagar,Apartment,4,1792,189.5,10574.78,2022,Semi-Furnished,18.0,21,2,6.0,6,1,2,,Clubhouse,North,Agent,Available,0.8181818181818182,108.0,3.9999999999999996,2,1,333.96,1,0,16,4,0,1,1,0,0,3,1
488,West Bengal,Howrah,HSR Layout,Villa,1,484,17.04,3520.66,2021,Fully Furnished,8.0,15,3,3.0,5,1,2,,Clubhouse,South-West,Individual,Sold,0.5,70.0,2.8,2,0,28.46,0,7,5,5,4,0,4,2,1,3,1
489,Maharashtra,Pune,HSR Layout,Villa,1,489,39.56,8089.98,2004,Semi-Furnished,5.0,6,20,6.0,2,6,2,Gated,Gym,South,Builder,Available,0.7142857142857143,76.0,4.8,2,1,72.24,1,3,17,5,4,1,3,1,0,1,2
490,West Bengal,Kolkata,Gachibowli,Studio,4,1729,158.03,9139.97,1991,Fully Furnished,3.0,6,33,6.0,1,8,1,Guard,Pool,South,Agent,Sold,0.42857142857142855,68.0,5.3,3,0,295.05,1,7,11,3,3,0,3,0,1,2,4
491,Gujarat,Vadodara,Whitefield,Apartment,2,1258,47.34,3763.12,2018,Unfurnished,18.0,23,6,2.0,4,3,2,Gated,Pool,North-East,Individual,Available,0.75,52.0,3.0,3,1,79.77,1,1,22,14,0,2,2,2,0,1,4
492,Telangana,Karimnagar,Gomti Nagar,Apartment,2,784,73.31,9350.77,1997,Unfurnished,19.0,22,27,5.0,7,9,1,CCTV,Pool,West,Builder,Under Construction,0.8260869565217391,106.0,7.199999999999999,3,0,148.74,0,6,10,4,0,2,5,1,2,0,4
493,Tamil Nadu,Madurai,Whitefield,Apartment,3,1215,78.19,6435.39,2006,Fully Furnished,23.0,32,18,6.0,7,4,3,Gated,All,South,Builder,Available,0.696969696969697,116.0,5.5,5,1,147.28,1,5,12,14,0,0,3,1,0,1,0
494,Delhi,New Delhi,Thane,Apartment,3,1511,151.49,10025.81,1995,Semi-Furnished,21.0,26,29,9.0,1,7,2,CCTV,Pool,South,Builder,Available,0.7777777777777778,98.0,5.8,3,1,289.13,1,0,16,13,0,1,3,1,0,0,4
495,Telangana,Hyderabad,Thane,Villa,4,1997,151.16,7569.35,2010,Semi-Furnished,13.0,16,14,5.0,7,6,1,CCTV,Clubhouse,North,Builder,Sold,0.7647058823529411,106.0,6.0,2,0,291.05,1,6,7,13,4,1,1,1,1,0,1
496,Delhi,New Delhi,Gachibowli,House,2,696,86.52,12431.03,2008,Semi-Furnished,24.0,33,16,0.0,2,6,3,,Gym+Pool,North,Individual,Sold,0.7058823529411765,16.0,3.0000000000000004,4,0,145.79,0,0,16,3,1,1,1,2,1,3,3
497,Delhi,Dwarka,Kondapur,Apartment,5,2248,142.38,6333.63,2006,Fully Furnished,19.0,26,18,1.0,2,2,0,CCTV,Pool,North-East,Individual,Available,0.7037037037037037,26.0,1.7000000000000002,3,1,226.19,1,0,4,8,0,0,2,2,0,0,4
498,Delhi,Rohini,Electronic City,Apartment,3,1298,80.05,6167.18,2006,Semi-Furnished,8.0,10,18,3.0,0,4,3,CCTV,All,South-West,Individual,Sold,0.7272727272727273,30.0,2.5,5,0,131.88,1,0,18,2,0,1,4,2,1,0,0
499,West Bengal,Howrah,Thane,Studio,3,1311,111.05,8470.63,2015,Semi-Furnished,11.0,20,9,7.0,2,4,3,CCTV,All,East,Builder,Available,0.5238095238095238,86.0,4.3,5,1,198.34,1,7,5,13,3,1,0,1,0,0,0
500,Karnataka,Mysore,Electronic City,Apartment,5,2049,187.25,9138.6,2011,Fully Furnished,3.0,6,13,1.0,6,9,3,Gated,All,South-West,Builder,Available,0.42857142857142855,58.0,5.699999999999999,5,1,355.81,1,2,14,2,0,0,4,1,0,1,0
501,Tamil Nadu,Madurai,Powai,Apartment,2,854,90.78,10629.98,1998,Semi-Furnished,11.0,13,26,5.0,4,5,3,Gated,All,North-East,Individual,Under Construction,0.7857142857142857,82.0,4.7,5,0,165.05,0,5,12,10,0,1,2,2,2,1,0
502,Tamil Nadu,Coimbatore,Electronic City,Apartment,3,1274,48.51,3807.69,1994,Fully Furnished,5.0,13,30,8.0,2,3,1,,Clubhouse,East,Agent,Under Construction,0.35714285714285715,96.0,4.2,2,0,86.26,1,5,3,2,0,0,0,0,2,3,1
503,Karnataka,Mysore,Whitefield,Apartment,3,1239,95.12,7677.16,2006,Semi-Furnished,14.0,21,18,5.0,6,3,1,CCTV,All,East,Builder,Under Construction,0.6363636363636364,98.0,4.5,5,0,171.41,1,2,14,14,0,1,0,1,2,0,0
504,Rajasthan,Udaipur,Indiranagar,Penthouse,5,2648,137.25,5183.16,2010,Unfurnished,23.0,32,14,6.0,7,9,2,,Gym,West,Individual,Sold,0.696969696969697,116.0,7.5,2,0,282.11,1,4,21,6,2,2,5,2,1,3,2
505,Telangana,Hyderabad,Electronic City,Apartment,1,511,32.71,6401.17,2005,Semi-Furnished,7.0,15,19,7.0,7,6,2,CCTV,All,South,Individual,Available,0.4375,126.0,6.6,5,1,64.66,1,6,7,2,0,1,3,2,0,0,0
506,Maharashtra,Mumbai,Kondapur,Apartment,4,1684,313.34,18606.89,2005,Fully Furnished,4.0,5,19,3.0,1,3,1,CCTV,Pool,North-East,Builder,Sold,0.6666666666666666,38.0,2.4,3,0,513.88,0,3,13,8,0,0,2,1,1,0,4
507,Rajasthan,Jaipur,Andheri,Apartment,2,955,95.24,9972.77,1995,Semi-Furnished,19.0,27,29,4.0,6,9,0,CCTV,All,South-West,Builder,Available,0.6785714285714286,88.0,6.6,5,1,188.25,1,4,8,0,0,1,4,1,0,0,0
508,Gujarat,Surat,Banjara Hills,Apartment,2,909,82.84,9113.31,1991,Semi-Furnished,12.0,18,33,4.0,2,5,0,,All,East,Agent,Sold,0.631578947368421,56.0,3.8000000000000003,5,0,144.69,0,1,20,1,0,1,0,0,1,3,0
509,Karnataka,Mysore,Whitefield,Apartment,5,2192,115.88,5286.5,2020,Semi-Furnished,11.0,14,4,9.0,6,4,0,Guard,All,West,Individual,Available,0.7333333333333333,138.0,6.1,5,1,224.1,1,2,14,14,0,1,5,2,0,2,0
510,Karnataka,Bangalore,Powai,Villa,2,777,40.32,5189.19,2022,Fully Furnished,1.0,9,2,8.0,6,3,2,CCTV,Pool,East,Agent,Available,0.1,128.0,5.4,3,1,75.61,1,2,1,10,4,0,0,0,0,0,4
511,Telangana,Karimnagar,Salt Lake,Studio,3,1436,125.66,8750.7,1991,Fully Furnished,17.0,26,33,6.0,1,9,1,CCTV,Clubhouse,West,Individual,Available,0.6296296296296297,68.0,5.7,2,1,238.78,1,6,10,11,3,0,5,2,0,0,1
512,Tamil Nadu,Madurai,Andheri,Villa,3,1419,82.31,5800.56,2002,Fully Furnished,17.0,20,22,9.0,3,7,2,,Gym,East,Individual,Available,0.8095238095238095,114.0,6.4,2,1,161.28,1,5,12,0,4,0,0,2,0,3,2
513,Gujarat,Ahmedabad,Gachibowli,House,2,1081,113.34,10484.74,1995,Unfurnished,4.0,9,29,9.0,1,4,3,Guard,Gym+Pool,North,Builder,Under Construction,0.4,98.0,4.6,4,0,205.15,0,1,0,3,1,2,1,1,2,2,3
514,Telangana,Karimnagar,Satellite,Apartment,4,1953,75.84,3883.26,1995,Fully Furnished,11.0,19,29,6.0,1,5,1,,All,West,Agent,Available,0.55,68.0,4.1,5,1,134.25,1,6,10,12,0,0,5,0,0,3,0
515,Tamil Nadu,Madurai,Powai,Villa,1,506,23.41,4626.48,2005,Semi-Furnished,5.0,10,19,4.0,3,2,3,Guard,Gym,West,Agent,Available,0.45454545454545453,64.0,2.9,2,1,39.27,1,5,12,10,4,1,5,0,0,2,2
516,Telangana,Karimnagar,Gachibowli,Villa,3,1288,96.41,7485.25,2000,Semi-Furnished,23.0,26,24,6.0,7,3,1,Guard,Gym+Pool,East,Individual,Under Construction,0.8518518518518519,116.0,5.1,4,0,178.42,1,6,10,3,4,1,0,2,2,2,3
517,Gujarat,Ahmedabad,Powai,Apartment,5,2141,101.7,4750.12,2018,Fully Furnished,23.0,28,6,4.0,5,7,0,Guard,All,South-West,Builder,Available,0.7931034482758621,80.0,5.5,5,1,191.56,1,1,0,10,0,0,4,1,0,2,0
518,Telangana,Warangal,Satellite,Apartment,3,1432,92.0,6424.58,2012,Unfurnished,19.0,27,12,8.0,2,5,3,,Clubhouse,South,Individual,Available,0.6785714285714286,96.0,5.0,2,1,169.5,1,6,23,12,0,2,3,2,0,3,1
519,Tamil Nadu,Chennai,Thane,Apartment,2,957,48.72,5090.91,2013,Unfurnished,13.0,16,11,3.0,7,4,2,Gated,Pool,East,Individual,Under Construction,0.7647058823529411,86.0,4.6,3,0,88.19,1,5,2,13,0,2,0,2,2,1,4
520,Telangana,Warangal,Koramangala,Villa,4,1603,72.11,4498.44,2005,Fully Furnished,17.0,24,19,7.0,0,3,2,,All,North,Individual,Under Construction,0.68,70.0,3.3000000000000003,5,0,123.16,1,6,23,9,4,0,1,2,2,3,0
521,Rajasthan,Jaipur,Kondapur,House,3,1416,61.73,4359.46,2016,Unfurnished,14.0,17,8,5.0,6,1,3,Guard,All,West,Individual,Sold,0.7777777777777778,98.0,3.6999999999999997,5,0,107.34,1,4,8,8,1,2,5,2,1,2,0
522,Gujarat,Surat,Gomti Nagar,House,3,1370,159.3,11627.74,2011,Unfurnished,12.0,21,13,7.0,6,4,0,CCTV,Pool,North-East,Individual,Available,0.5454545454545454,118.0,5.5,3,1,300.05,1,1,20,4,1,2,2,2,0,0,4
523,Delhi,New Delhi,Jubilee Hills,Penthouse,5,2189,209.73,9581.09,2022,Semi-Furnished,6.0,7,2,8.0,2,3,2,CCTV,All,South,Builder,Under Construction,0.75,96.0,4.2,5,0,372.93,1,0,16,7,2,1,3,1,2,0,0
524,Maharashtra,Mumbai,Indiranagar,Penthouse,2,1005,82.96,8254.73,1996,Fully Furnished,9.0,16,28,4.0,3,9,0,,All,West,Individual,Available,0.5294117647058824,64.0,5.699999999999999,5,1,157.64,1,3,13,6,2,0,5,2,0,3,0
525,Rajasthan,Jaipur,Salt Lake,Apartment,3,1343,136.2,10141.47,2020,Semi-Furnished,20.0,28,4,5.0,6,5,2,,All,North,Builder,Available,0.6896551724137931,98.0,5.3,5,1,254.29,1,4,8,11,0,1,1,1,0,3,0
526,Gujarat,Ahmedabad,Whitefield,House,3,1290,139.89,10844.19,2013,Fully Furnished,10.0,18,11,6.0,3,6,3,,All,South-West,Agent,Available,0.5263157894736842,84.0,5.1,5,1,258.88,1,1,0,14,1,0,4,0,0,3,0
527,Telangana,Karimnagar,Gachibowli,Apartment,2,903,58.98,6531.56,1993,Semi-Furnished,22.0,31,31,4.0,3,9,0,CCTV,Gym+Pool,West,Builder,Available,0.6875,64.0,5.699999999999999,4,1,112.07,1,6,10,3,0,1,5,1,0,0,3
528,Telangana,Hyderabad,HSR Layout,Apartment,5,2273,229.38,10091.51,1991,Semi-Furnished,13.0,16,33,1.0,4,6,2,CCTV,Pool,West,Individual,Available,0.7647058823529411,42.0,3.9000000000000004,3,1,402.44,1,6,7,5,0,1,5,2,0,0,4
529,Tamil Nadu,Madurai,Powai,Apartment,1,396,39.98,10095.96,1994,Semi-Furnished,14.0,17,30,2.0,3,3,1,Gated,Gym,North-East,Builder,Available,0.7777777777777778,44.0,2.7,2,1,66.46,0,5,12,10,0,1,2,1,0,1,2
530,Maharashtra,Mumbai,Gomti Nagar,Apartment,1,495,64.11,12951.52,2019,Unfurnished,9.0,17,5,8.0,7,6,2,Guard,All,North,Individual,Available,0.5,136.0,6.9,5,1,128.39,1,3,13,4,0,2,1,2,0,2,0
531,Telangana,Hyderabad,Banjara Hills,Apartment,2,901,126.45,14034.41,2021,Unfurnished,24.0,31,3,7.0,2,6,2,CCTV,Clubhouse,North-East,Individual,Available,0.75,86.0,5.1,2,1,234.01,0,6,7,1,0,2,2,2,0,0,1
532,Tamil Nadu,Madurai,Andheri,Apartment,3,1149,99.23,8636.21,2013,Semi-Furnished,12.0,17,11,3.0,4,9,0,CCTV,Gym+Pool,West,Agent,Under Construction,0.6666666666666666,62.0,5.7,4,0,188.56,1,5,12,0,0,1,5,0,2,0,3
533,Telangana,Karimnagar,Indiranagar,Apartment,2,626,45.8,7316.29,2015,Unfurnished,15.0,17,9,2.0,2,6,2,Guard,All,West,Agent,Sold,0.8333333333333334,36.0,3.6000000000000005,5,0,79.28,1,6,10,6,0,2,5,0,1,2,0
534,Telangana,Karimnagar,Satellite,Apartment,4,1978,228.48,11551.06,1999,Unfurnished,14.0,18,25,6.0,1,3,2,Guard,All,South,Builder,Available,0.7368421052631579,68.0,3.3,5,1,390.23,1,6,10,12,0,2,3,1,0,2,0
