ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
520,Telangana,Warangal,Koramangala,Villa,4,1603,72.11,4498.44,2005,Fully Furnished,17.0,24,19,7.0,0,3,2,None,,North,Individual,Under Construction
521,Rajasthan,Jaipur,Kondapur,House,3,1416,61.73,4359.46,2016,Unfurnished,14.0,17,8,5.0,6,1,3,Guard,All,West,Individual,Sold
522,Gujarat,Surat,Gomti Nagar,House,3,1370,159.3,11627.74,2011,Unfurnished,12.0,21,13,7.0,6,4,0,CCTV,Pool,North-East,Individual,Available
523,Delhi,New Delhi,Jubilee Hills,Penthouse,5,2189,209.73,9581.09,2022,Semi-Furnished,6.0,7,2,8.0,2,3,2,CCTV,All,South,Builder,Under Construction
524,Maharashtra,Mumbai,Indiranagar,Penthouse,2,1005,82.96,8254.73,1996,Fully Furnished,9.0,16,28,4.0,3,9,0,None,None,West,Individual,Available
525,Rajasthan,Jaipur,Salt Lake,Apartment,3,1343,136.2,10141.47,2020,Semi-Furnished,20.0,28,4,,6,5,2,None,All,North,Builder,Available
526,Gujarat,Ahmedabad,Whitefield,House,3,1290,139.89,10844.19,2013,Fully Furnished,10.0,18,11,6.0,3,6,3,None,All,South-West,Agent,Available
527,Telangana,Karimnagar,Gachibowli,Apartment,2,903,58.98,6531.56,1993,Semi-Furnished,22.0,31,31,4.0,3,9,0,CCTV,Gym+Pool,West,Builder,Available
528,Telangana,Hyderabad,HSR Layout,Apartment,5,2273,229.38,10091.51,1991,Semi-Furnished,13.0,16,33,1.0,4,6,2,CCTV,Pool,West,Individual,Available
529,Tamil Nadu,Madurai,Powai,Apartment,1,396,39.98,10095.96,1994,Semi-Furnished,14.0,17,30,2.0,3,3,1,Gated,Gym,North-East,Builder,Available
530,Maharashtra,Mumbai,Gomti Nagar,Apartment,1,495,64.11,12951.52,2019,Unfurnished,9.0,17,5,8.0,7,6,2,Guard,All,North,Individual,Available
531,Telangana,Hyderabad,Banjara Hills,Apartment,2,901,126.45,14034.41,2021,Unfurnished,24.0,31,3,7.0,2,6,2,CCTV,Clubhouse,North-East,Individual,Available
532,Tamil Nadu,Madurai,Andheri,Apartment,3,1149,99.23,8636.21,2013,Semi-Furnished,12.0,17,11,3.0,4,9,0,CCTV,Gym+Pool,,Agent,Under Construction
533,Telangana,Karimnagar,Indiranagar,Apartment,2,626,45.8,7316.29,2015,Unfurnished,15.0,17,9,2.0,2,6,2,Guard,None,West,Agent,Sold
534,Telangana,Karimnagar,Satellite,Apartment,4,1978,228.48,11551.06,1999,Unfurnished,14.0,18,25,6.0,1,3,2,Guard,All,South,Builder,Available
535,Rajasthan,Jaipur,Thane,Studio,4,2040,143.64,7041.18,2011,Semi-Furnished,21.0,28,13,4.0,6,2,0,CCTV,None,North,Individual,Available
536,Maharashtra,Pune,Andheri,Apartment,4,1664,133.17,8003.0,1999,Semi-Furnished,21.0,27,25,8.0,0,6,3,Guard,All,East,Agent,Under Construction
537,Karnataka,Mysore,Electronic City,House,3,1523,147.38,9676.95,2019,Semi-Furnished,11.0,14,5,8.0,0,4,3,CCTV,Gym+Pool,West,Builder,Available
538,West Bengal,Kolkata,Satellite,Apartment,3,1507,68.22,4526.87,2002,Semi-Furnished,20.0,23,22,6.0,5,2,0,Guard,Gym,North,Individual,Available
539,Rajasthan,Udaipur,Banjara Hills,House,2,987,64.85,6570.42,1992,Semi-Furnished,3.0,9,32,7.0,6,9,1,Gated,Gym+Pool,South-West,Builder,Available
540,Karnataka,Hubli,Gomti Nagar,Apartment,1,523,29.91,5718.93,1998,Semi-Furnished,16.0,21,26,6.0,2,6,1,Gated,None,South-West,Individual,Sold
541,West Bengal,Howrah,Indiranagar,Apartment,4,1662,119.74,7204.57,1997,Semi-Furnished,22.0,27,27,9.0,2,5,2,CCTV,Gym+Pool,North-East,Agent,Available
542,Delhi,Dwarka,Whitefield,Villa,2,826,62.37,7550.85,2008,Semi-Furnished,11.0,19,16,5.0,3,7,1,None,Pool,West,Builder,Under Construction
543,Delhi,New Delhi,Satellite,Apartment,4,1993,302.55,15180.63,1996,Semi-Furnished,15.0,18,28,6.0,4,8,1,None,All,South-West,Individual,Available
544,Telangana,Warangal,Jubilee Hills,Apartment,2,707,49.43,6991.51,2016,Semi-Furnished,5.0,7,8,6.0,7,7,0,Gated,,South-West,Agent,Available
545,Delhi,Dwarka,Thane,Penthouse,1,484,43.98,9086.78,2021,Semi-Furnished,20.0,25,3,,5,7,0,Gated,Clubhouse,West,Builder,Sold
546,Rajasthan,Jodhpur,Powai,Apartment,2,918,97.33,10602.4,2000,Fully Furnished,13.0,18,24,7.0,2,7,1,Guard,Clubhouse,North-East,Individual,Available
547,Karnataka,Hubli,HSR Layout,Apartment,2,711,60.25,8473.98,2014,Semi-Furnished,0.0,1,10,9.0,7,6,1,CCTV,Clubhouse,West,Individual,Available
548,Rajasthan,Udaipur,Whitefield,Apartment,2,816,68.69,8417.89,2012,Semi-Furnished,20.0,27,12,8.0,1,4,3,None,Gym,East,Agent,Under Construction
549,Gujarat,Surat,Banjara Hills,House,4,1753,73.84,4212.21,2020,Semi-Furnished,16.0,25,4,0.0,4,3,3,CCTV,Clubhouse,East,Builder,Under Construction
550,Maharashtra,Pune,Satellite,Villa,4,1860,125.47,6745.7,2002,Unfurnished,3.0,10,22,1.0,5,6,3,None,Gym,West,Individual,Sold
551,Karnataka,Hubli,Whitefield,Apartment,4,1770,191.93,10843.5,2011,,4.0,8,13,0.0,7,7,3,CCTV,None,South-West,Individual,Available
552,Telangana,Warangal,Electronic City,Penthouse,2,965,76.39,7916.06,1998,Semi-Furnished,10.0,15,26,8.0,0,1,0,None,All,South-West,Builder,Available
553,Rajasthan,Jaipur,Gomti Nagar,Apartment,3,1060,102.01,9623.58,1996,Semi-Furnished,7.0,16,28,8.0,7,3,3,Guard,All,North-East,Builder,Available
554,Delhi,Rohini,Indiranagar,Apartment,3,1441,70.69,4905.62,2006,Semi-Furnished,7.0,11,18,9.0,7,5,1,CCTV,Gym,North-East,Builder,Sold
555,West Bengal,Kolkata,Powai,Villa,3,1100,72.81,6619.09,2008,Semi-Furnished,0.0,1,16,5.0,2,6,0,Guard,Gym+Pool,East,Builder,Available
556,Rajasthan,Udaipur,Electronic City,Penthouse,3,1442,149.5,10367.55,1996,Fully Furnished,15.0,22,28,1.0,3,6,2,CCTV,Gym,West,Builder,Available
557,Gujarat,Ahmedabad,Indiranagar,Apartment,2,855,35.93,4202.34,2019,Unfurnished,3.0,5,5,7.0,1,7,2,Gated,Pool,South-West,Agent,Available
558,West Bengal,Howrah,Satellite,Apartment,2,652,73.94,11340.49,2013,Semi-Furnished,15.0,23,11,,5,2,1,Guard,All,East,Individual,Sold
559,Telangana,Karimnagar,Gomti Nagar,House,4,1828,70.99,3883.48,2022,Fully Furnished,24.0,31,2,5.0,7,2,2,CCTV,All,South,Builder,Under Construction
560,Delhi,Rohini,Salt Lake,Apartment,1,720,31.45,4368.06,1999,Fully Furnished,23.0,31,25,4.0,0,4,3,None,Clubhouse,South-West,Individual,Under Construction
561,Rajasthan,Jodhpur,Satellite,Apartment,2,947,51.07,5392.82,2018,Semi-Furnished,11.0,18,6,2.0,7,1,2,Guard,Gym+Pool,South-West,Builder,Under Construction
562,Rajasthan,Jodhpur,Thane,Apartment,3,1296,143.96,11108.02,1990,Semi-Furnished,5.0,13,34,,3,1,0,CCTV,Gym+Pool,West,Builder,Available
563,Maharashtra,Nagpur,Electronic City,Apartment,4,1881,151.2,8038.28,1994,,9.0,11,30,4.0,7,6,2,CCTV,Gym,South-West,Builder,Available
564,Karnataka,Mysore,Electronic City,House,3,1323,81.21,6138.32,1994,Semi-Furnished,24.0,25,30,4.0,1,9,1,Guard,All,East,Individual,Available
565,Karnataka,Bangalore,HSR Layout,Apartment,2,750,106.3,14173.33,2006,,4.0,8,18,2.0,4,3,3,CCTV,Pool,East,Builder,Available
566,Maharashtra,Pune,Powai,House,3,1210,54.48,4502.48,2014,Fully Furnished,14.0,18,10,3.0,6,4,1,CCTV,Gym+Pool,South-West,Individual,Under Construction
567,West Bengal,Siliguri,Gachibowli,Villa,5,2565,193.63,7548.93,1992,Semi-Furnished,16.0,21,32,1.0,2,6,2,Gated,Clubhouse,South-West,Agent,Sold
568,Tamil Nadu,Madurai,Gomti Nagar,Villa,4,1618,173.06,10695.92,1993,Semi-Furnished,0.0,8,31,3.0,5,3,2,Gated,Pool,South-West,Builder,Available
569,Tamil Nadu,Madurai,Whitefield,Penthouse,3,1233,45.13,3660.18,2000,Semi-Furnished,20.0,22,24,5.0,2,6,3,Gated,All,South,Builder,Available
570,Gujarat,Ahmedabad,HSR Layout,Apartment,3,1555,95.24,6124.76,2019,Unfurnished,18.0,22,5,5.0,2,9,3,Guard,Gym,North-East,Builder,Under Construction
571,West Bengal,Siliguri,HSR Layout,Villa,5,2090,193.5,9258.37,1996,Unfurnished,15.0,22,28,4.0,7,9,3,Gated,Gym+Pool,North,Individual,Available
572,Gujarat,Ahmedabad,Gachibowli,Apartment,4,1696,195.16,11507.08,2002,Semi-Furnished,13.0,15,22,0.0,4,6,0,None,Gym,South-West,Agent,Sold
573,Delhi,New Delhi,Kondapur,Apartment,2,894,147.18,16463.09,1993,Unfurnished,4.0,10,31,0.0,0,4,3,None,Pool,North,Agent,Available
574,Tamil Nadu,Coimbatore,Banjara Hills,Studio,3,1588,65.61,4131.61,2005,Semi-Furnished,5.0,8,19,6.0,1,6,3,Gated,All,North,Builder,Under Construction
575,Telangana,Hyderabad,Indiranagar,Studio,2,1197,166.99,13950.71,1992,Fully Furnished,15.0,19,32,0.0,0,5,1,Gated,Pool,East,Individual,Sold
576,Delhi,New Delhi,Electronic City,Villa,3,1283,107.54,8381.92,2016,Unfurnished,6.0,9,8,8.0,5,5,3,CCTV,All,West,Builder,Available
577,West Bengal,Howrah,Indiranagar,House,2,883,83.09,9409.97,2016,Fully Furnished,17.0,21,8,0.0,2,9,2,None,Clubhouse,South,Individual,Sold
578,Telangana,Warangal,Banjara Hills,Villa,5,2222,266.38,11988.3,2012,Unfurnished,24.0,32,12,5.0,6,9,1,Guard,Pool,North,Individual,Available
579,Tamil Nadu,Madurai,Andheri,Villa,2,851,46.59,5474.74,2010,Semi-Furnished,3.0,8,14,6.0,5,9,1,None,All,,Individual,Available
580,Telangana,Karimnagar,Banjara Hills,Apartment,3,1174,92.73,7898.64,1994,Fully Furnished,23.0,30,30,1.0,6,1,0,None,Pool,North-East,Agent,Under Construction
581,Delhi,Dwarka,Salt Lake,House,2,740,44.61,6028.38,2011,Fully Furnished,4.0,8,13,5.0,5,6,1,Gated,Pool,South-West,Builder,Available
582,Karnataka,Bangalore,Gachibowli,Apartment,3,1503,182.1,12115.77,2016,Semi-Furnished,23.0,32,8,4.0,2,1,0,None,Gym+Pool,,Builder,Available
583,Karnataka,Bangalore,Powai,House,3,1469,151.25,10296.12,2022,Unfurnished,22.0,28,2,4.0,7,7,2,None,Gym+Pool,South,Individual,Available
584,Karnataka,Bangalore,Thane,House,2,822,44.93,5465.94,2005,Fully Furnished,20.0,28,19,3.0,6,4,3,Gated,Gym,North-East,Individual,Under Construction
585,Rajasthan,Jodhpur,Banjara Hills,Apartment,3,1230,142.43,11579.67,2001,Semi-Furnished,16.0,21,23,5.0,6,7,1,Guard,All,South-West,Builder,Available
586,West Bengal,Siliguri,Banjara Hills,House,3,1384,70.68,5106.94,1999,Semi-Furnished,15.0,17,25,0.0,5,4,1,Gated,Gym+Pool,East,Individual,Available
587,Delhi,Dwarka,Salt Lake,Apartment,3,1242,45.68,3677.94,2000,Unfurnished,8.0,17,24,6.0,7,3,0,Guard,All,West,Builder,Available
588,Rajasthan,Udaipur,Gomti Nagar,Apartment,4,1692,73.32,4333.33,1990,Fully Furnished,2.0,4,34,1.0,5,2,0,CCTV,All,South,Individual,Available
589,Karnataka,Hubli,Whitefield,Apartment,3,1010,64.56,6392.08,2022,,3.0,11,2,0.0,2,2,0,CCTV,None,South,Individual,Under Construction
590,Karnataka,Mysore,Kondapur,House,1,545,29.32,5379.82,2010,Fully Furnished,15.0,21,14,2.0,0,5,0,None,None,South-West,Individual,Available
591,West Bengal,Kolkata,Electronic City,Apartment,2,1041,50.0,4803.07,2019,Unfurnished,20.0,28,5,8.0,3,7,3,Guard,Pool,South,Builder,Available
592,Delhi,Rohini,Whitefield,Apartment,3,1504,142.09,9447.47,2013,Semi-Furnished,20.0,27,11,0.0,1,1,0,None,,South-West,Individual,Sold
593,Gujarat,Vadodara,Andheri,Apartment,3,1114,95.36,8560.14,2011,Unfurnished,16.0,20,13,7.0,2,5,1,Gated,Clubhouse,East,Agent,Available
594,Gujarat,Ahmedabad,Electronic City,Apartment,1,300,26.26,8753.33,1999,Fully Furnished,1.0,8,25,5.0,1,5,2,Gated,Gym,North,Agent,Available
595,West Bengal,Howrah,Electronic City,House,4,1918,216.7,11298.23,1992,Semi-Furnished,,7,32,4.0,0,4,2,None,Clubhouse,South-West,Individual,Available
596,Maharashtra,Pune,Thane,Villa,3,1312,146.24,11146.34,2011,Semi-Furnished,20.0,24,13,7.0,1,7,3,None,Gym+Pool,North-East,Individual,Available
597,Telangana,Karimnagar,Electronic City,Apartment,3,1266,115.31,9108.21,2003,Unfurnished,,23,21,2.0,7,4,3,Gated,Gym+Pool,North,Agent,Under Construction
598,Delhi,Rohini,HSR Layout,Apartment,2,851,29.98,3522.91,1999,Semi-Furnished,23.0,25,25,5.0,0,1,1,Gated,Clubhouse,South,Builder,Available
599,Delhi,Rohini,Whitefield,Villa,4,1808,183.01,10122.23,1997,Unfurnished,13.0,18,27,9.0,3,8,3,Guard,Clubhouse,South-West,Individual,Available
600,Rajasthan,Jodhpur,Salt Lake,House,3,1183,110.42,9333.9,1998,Unfurnished,2.0,10,26,5.0,3,9,0,Guard,All,South,Individual,Under Construction
601,Maharashtra,Nagpur,Indiranagar,Apartment,2,1136,61.16,5383.8,2001,Fully Furnished,18.0,19,23,0.0,7,9,0,Gated,Pool,East,Individual,Sold
602,Tamil Nadu,Madurai,Jubilee Hills,Villa,4,1792,212.91,11881.14,1997,,17.0,18,27,1.0,0,5,2,Gated,Gym+Pool,South,Builder,Sold
603,Tamil Nadu,Chennai,Salt Lake,Apartment,3,1360,140.08,10300.0,2016,Semi-Furnished,7.0,8,8,0.0,0,9,3,None,None,South,Individual,Available
604,Delhi,New Delhi,Indiranagar,Villa,3,1456,281.11,19307.01,2019,Semi-Furnished,23.0,27,5,1.0,5,9,3,None,Pool,East,Builder,Under Construction
605,Tamil Nadu,Chennai,Whitefield,House,1,414,55.79,13475.85,2014,Semi-Furnished,2.0,6,10,9.0,3,5,1,CCTV,Gym+Pool,East,Agent,Sold
606,Maharashtra,Mumbai,Banjara Hills,Apartment,4,1727,151.57,8776.49,2002,Fully Furnished,0.0,7,22,8.0,5,3,2,None,Gym,West,Agent,Under Construction
607,Telangana,Hyderabad,Powai,Apartment,3,1682,262.87,15628.42,1996,Semi-Furnished,13.0,19,28,4.0,5,2,3,None,Gym,,Builder,Available
608,Gujarat,Surat,Gachibowli,House,3,1358,86.21,6348.31,2002,Semi-Furnished,12.0,20,22,9.0,1,9,2,Gated,Gym+Pool,South-West,Builder,Available
609,Karnataka,Hubli,Koramangala,House,3,1387,162.24,11697.19,2005,Fully Furnished,12.0,16,19,6.0,6,7,3,CCTV,Gym+Pool,South-West,Agent,Under Construction
610,West Bengal,Kolkata,Electronic City,Villa,2,1090,118.03,10828.44,1998,Semi-Furnished,14.0,17,26,4.0,1,9,3,CCTV,Gym+Pool,South,Agent,Under Construction
611,West Bengal,Siliguri,Koramangala,Apartment,4,1622,93.16,5743.53,2006,Semi-Furnished,14.0,16,18,4.0,0,8,0,CCTV,Gym,South,Individual,Under Construction
612,Maharashtra,Nagpur,Whitefield,House,2,885,48.08,5432.77,2012,Unfurnished,22.0,31,12,6.0,7,1,3,None,All,West,Individual,Available
613,Delhi,Dwarka,Banjara Hills,Villa,3,1658,112.59,6790.71,2009,Fully Furnished,9.0,17,15,3.0,2,7,0,CCTV,Pool,,Builder,Under Construction
614,Karnataka,Mysore,Indiranagar,Villa,3,1372,60.8,4431.49,1994,Unfurnished,17.0,19,30,,0,5,2,Guard,Clubhouse,East,Individual,Available
615,Delhi,Rohini,Indiranagar,Apartment,5,2050,155.25,7573.17,2019,Fully Furnished,16.0,22,5,0.0,0,8,0,None,Gym+Pool,North-East,Individual,Under Construction
616,Karnataka,Bangalore,Gachibowli,House,5,2327,255.12,10963.47,2008,Semi-Furnished,11.0,15,16,8.0,2,6,3,Guard,None,South-West,Individual,Available
617,West Bengal,Howrah,Salt Lake,Apartment,2,796,89.58,11253.77,2012,Fully Furnished,11.0,17,12,8.0,4,1,2,Guard,Clubhouse,North-East,Agent,Sold
618,Telangana,Hyderabad,Whitefield,Villa,1,520,80.78,15534.62,1992,Fully Furnished,13.0,21,32,7.0,4,3,2,Guard,All,West,Agent,Sold
619,Rajasthan,Jaipur,Whitefield,Villa,3,1574,125.57,7977.76,2006,Semi-Furnished,4.0,13,18,1.0,3,7,0,CCTV,Gym+Pool,East,Individual,Under Construction
620,Telangana,Warangal,Andheri,Penthouse,5,2207,228.7,10362.48,1995,Unfurnished,13.0,17,29,5.0,2,7,2,CCTV,Pool,East,Builder,Available
621,West Bengal,Kolkata,Indiranagar,House,3,1363,130.68,9587.67,2007,Unfurnished,19.0,22,17,,7,8,2,None,Gym,West,Builder,Sold
622,Rajasthan,Jodhpur,Kondapur,House,2,842,41.5,4928.74,2012,Unfurnished,1.0,9,12,6.0,0,6,3,CCTV,Gym,West,Builder,Under Construction
623,Gujarat,Ahmedabad,Thane,Apartment,3,1212,61.96,5112.21,1995,Fully Furnished,20.0,28,29,1.0,0,7,1,None,None,North-East,Individual,Under Construction
624,Maharashtra,Nagpur,Banjara Hills,Apartment,3,1347,99.85,7412.77,1993,Semi-Furnished,24.0,32,31,3.0,5,8,2,Gated,Gym+Pool,South,Individual,Sold
625,Telangana,Hyderabad,Whitefield,House,4,1972,234.83,11908.22,2004,Semi-Furnished,20.0,26,20,3.0,7,8,3,Gated,Gym,West,Individual,Available
626,Tamil Nadu,Chennai,Satellite,House,3,1359,108.58,7989.7,2004,,0.0,2,20,7.0,5,9,1,Guard,Clubhouse,North,Builder,Available
627,Telangana,Karimnagar,Banjara Hills,House,3,1080,75.52,6992.59,1999,Semi-Furnished,,12,25,6.0,5,8,2,Gated,Gym,East,Individual,Available
628,Telangana,Warangal,Salt Lake,Apartment,1,300,33.16,11053.33,2010,Unfurnished,10.0,14,14,4.0,4,5,2,None,Gym+Pool,East,Builder,Under Construction
629,Tamil Nadu,Coimbatore,Salt Lake,Studio,3,1548,117.09,7563.95,2012,Fully Furnished,16.0,22,12,7.0,6,2,1,Gated,All,North-East,Builder,Available
630,Karnataka,Hubli,Satellite,Apartment,2,1025,112.12,10938.54,1997,,21.0,26,27,1.0,0,1,2,Gated,Clubhouse,North,Individual,Available
631,Rajasthan,Udaipur,Andheri,House,3,1245,131.56,10567.07,2016,Unfurnished,6.0,10,8,2.0,5,9,2,None,Pool,South,Agent,Sold
632,Karnataka,Bangalore,Koramangala,Penthouse,4,1970,364.86,18520.81,2019,Semi-Furnished,21.0,28,5,0.0,3,7,3,None,All,North,Agent,Available
633,Maharashtra,Pune,Electronic City,Apartment,4,1998,220.66,11044.04,2017,Semi-Furnished,19.0,20,7,9.0,4,1,1,CCTV,Gym+Pool,South,Agent,Available
634,Maharashtra,Mumbai,Koramangala,Apartment,3,1429,99.79,6983.21,2012,,10.0,16,12,5.0,1,5,2,Guard,Clubhouse,North,Individual,Available
635,West Bengal,Siliguri,Andheri,Apartment,1,300,18.09,6030.0,2010,Semi-Furnished,15.0,16,14,4.0,7,8,2,Gated,None,West,Individual,Under Construction
636,Telangana,Hyderabad,Gachibowli,Studio,1,722,53.33,7386.43,2015,,0.0,9,9,3.0,4,2,1,Guard,Gym+Pool,North-East,Individual,Under Construction
637,Rajasthan,Jaipur,Banjara Hills,Studio,4,1691,165.48,9785.93,2019,Fully Furnished,24.0,28,5,0.0,1,8,1,Gated,Gym+Pool,South-West,Builder,Available
638,Tamil Nadu,Coimbatore,Jubilee Hills,Apartment,2,662,58.21,8793.05,2015,Semi-Furnished,7.0,13,9,5.0,3,7,1,Gated,None,,Agent,Sold
639,Gujarat,Surat,Powai,Apartment,2,860,101.05,11750.0,1995,Unfurnished,8.0,11,29,2.0,5,2,0,None,Pool,East,Agent,Under Construction
640,West Bengal,Howrah,Powai,Apartment,1,482,50.68,10514.52,2010,Fully Furnished,20.0,25,14,,4,7,0,CCTV,Clubhouse,North-East,Builder,Available
641,Maharashtra,Mumbai,Jubilee Hills,Apartment,3,1125,151.35,13453.33,2007,Semi-Furnished,22.0,28,17,1.0,7,9,2,None,,North-East,Individual,Available
642,Delhi,New Delhi,Banjara Hills,Apartment,2,1142,160.52,14056.04,1999,Fully Furnished,20.0,29,25,5.0,4,4,2,Guard,All,,Individual,Available
643,West Bengal,Kolkata,Gachibowli,Apartment,4,1591,123.4,7756.13,2005,Fully Furnished,5.0,11,19,1.0,7,8,1,Guard,Gym,East,Builder,Sold
644,Gujarat,Surat,Indiranagar,Studio,4,1666,186.17,11174.67,2019,Unfurnished,9.0,11,5,5.0,4,6,0,None,None,North-East,Builder,Available
645,Tamil Nadu,Madurai,Jubilee Hills,Apartment,2,917,76.69,8363.14,2008,Semi-Furnished,18.0,24,16,9.0,0,6,3,Guard,All,West,Builder,Under Construction
646,Rajasthan,Udaipur,Salt Lake,Apartment,4,2014,72.2,3584.91,2001,Unfurnished,9.0,11,23,9.0,2,4,0,CCTV,Pool,North-East,Builder,Available
647,Telangana,Warangal,Jubilee Hills,Villa,4,1692,169.47,10015.96,2010,Unfurnished,8.0,15,14,,7,8,2,Guard,Gym,South,Individual,Under Construction
648,Maharashtra,Mumbai,Jubilee Hills,Villa,4,1807,172.88,9567.24,2004,Fully Furnished,5.0,11,20,3.0,2,5,3,Gated,None,East,Builder,Available
649,Telangana,Warangal,Salt Lake,Villa,4,1559,160.01,10263.63,2010,Semi-Furnished,16.0,25,14,2.0,1,9,2,Gated,Gym+Pool,South-West,Agent,Available
650,Maharashtra,Mumbai,Electronic City,Apartment,5,2126,334.26,15722.48,2008,Fully Furnished,22.0,29,16,3.0,3,7,2,None,Clubhouse,North,Individual,Sold
651,Rajasthan,Jodhpur,Kondapur,Apartment,1,568,40.84,7190.14,2011,Semi-Furnished,15.0,17,13,9.0,5,6,1,None,None,North-East,Individual,Available
652,Delhi,Dwarka,Whitefield,Apartment,2,969,107.58,11102.17,1991,Fully Furnished,16.0,20,33,4.0,1,1,0,None,Clubhouse,West,Agent,Available
653,Telangana,Karimnagar,Electronic City,Apartment,4,1865,161.91,8681.5,1991,Semi-Furnished,3.0,11,33,9.0,1,9,1,Gated,None,South,Builder,Available
654,Gujarat,Vadodara,Gachibowli,Penthouse,3,1624,160.63,9891.01,2016,,8.0,13,8,4.0,2,4,0,Guard,Gym+Pool,West,Agent,Sold
655,Gujarat,Vadodara,Electronic City,Villa,4,1815,192.83,10624.24,2011,Semi-Furnished,21.0,23,13,7.0,5,5,3,Guard,Gym,West,Agent,Available
656,Delhi,Rohini,HSR Layout,Villa,4,1845,139.1,7539.3,2005,Fully Furnished,21.0,23,19,5.0,0,3,0,CCTV,Gym,North-East,Individual,Available
657,Rajasthan,Jaipur,Kondapur,Studio,3,1004,83.34,8300.8,2015,Semi-Furnished,9.0,10,9,4.0,5,2,3,CCTV,Gym,North,Builder,Available
658,Gujarat,Vadodara,Satellite,Penthouse,2,1149,60.2,5239.34,2009,Semi-Furnished,6.0,14,15,6.0,3,3,2,Guard,None,South-West,Builder,Sold
659,Maharashtra,Mumbai,Gomti Nagar,Apartment,2,829,130.49,15740.65,1991,Unfurnished,1.0,8,33,4.0,4,8,3,None,Pool,West,Individual,Available
660,Tamil Nadu,Chennai,Koramangala,Studio,1,576,58.22,10107.64,2005,Unfurnished,7.0,9,19,6.0,2,9,1,CCTV,Gym,North,Agent,Available
661,Delhi,Rohini,Kondapur,Apartment,3,1357,149.9,11046.43,2013,,1.0,9,11,0.0,6,1,3,CCTV,Gym,North-East,Builder,Available
662,Maharashtra,Nagpur,Thane,House,3,1113,60.22,5410.6,2002,Semi-Furnished,19.0,20,22,9.0,7,8,3,None,Gym,East,Individual,Under Construction
663,Telangana,Hyderabad,Gomti Nagar,House,2,757,98.53,13015.85,2008,Semi-Furnished,20.0,25,16,0.0,5,8,0,Gated,Gym,,Individual,Available
664,Telangana,Hyderabad,Gomti Nagar,Apartment,3,1499,185.8,12394.93,2020,Semi-Furnished,11.0,14,4,5.0,6,4,0,Guard,Gym,South-West,Agent,Available
665,Tamil Nadu,Madurai,Powai,House,3,1401,151.78,10833.69,2018,Unfurnished,8.0,13,6,7.0,2,1,0,CCTV,All,South,Builder,Available
666,Maharashtra,Pune,Electronic City,Apartment,3,1315,179.02,13613.69,2020,Semi-Furnished,11.0,14,4,5.0,2,2,3,Gated,None,South,Individual,Available
667,Rajasthan,Udaipur,Andheri,Apartment,3,1488,69.12,4645.16,1993,Semi-Furnished,19.0,28,31,9.0,5,9,3,CCTV,All,North-East,Agent,Available
668,Rajasthan,Udaipur,Salt Lake,Apartment,3,1534,179.7,11714.47,1996,Fully Furnished,13.0,19,28,4.0,6,4,3,Gated,None,North,Agent,Available
669,Gujarat,Vadodara,Satellite,Penthouse,5,2250,150.46,6687.11,1994,Fully Furnished,10.0,18,30,4.0,7,5,0,CCTV,Gym,West,Agent,Under Construction
670,Delhi,New Delhi,Jubilee Hills,Villa,1,348,53.91,15491.38,2021,Fully Furnished,13.0,21,3,1.0,1,2,3,Guard,Clubhouse,West,Builder,Under Construction
671,Telangana,Karimnagar,Gomti Nagar,Studio,1,712,49.44,6943.82,2009,Unfurnished,23.0,26,15,2.0,2,8,3,CCTV,Pool,North-East,Individual,Sold
672,Gujarat,Vadodara,Gomti Nagar,Apartment,3,1048,63.65,6073.47,1999,Semi-Furnished,17.0,20,25,6.0,0,3,3,CCTV,Gym+Pool,South,Agent,Under Construction
673,Telangana,Hyderabad,Indiranagar,Villa,4,1750,214.21,12240.57,2014,Semi-Furnished,17.0,20,10,1.0,1,7,3,CCTV,,South-West,Builder,Sold
674,Rajasthan,Jaipur,Whitefield,Apartment,4,1746,123.49,7072.74,2009,,22.0,25,15,7.0,7,7,1,Gated,Pool,West,Agent,Available
675,Telangana,Warangal,Powai,Apartment,2,1091,43.58,3994.5,2004,Fully Furnished,10.0,19,20,3.0,3,9,2,CCTV,Pool,North,Builder,Under Construction
676,Delhi,Dwarka,Banjara Hills,Apartment,3,1179,131.16,11124.68,2000,Semi-Furnished,17.0,23,24,6.0,3,6,2,None,Pool,East,Individual,Under Construction
677,West Bengal,Howrah,Gachibowli,Penthouse,2,745,74.12,9948.99,2010,Semi-Furnished,11.0,19,14,7.0,3,9,0,Guard,Gym+Pool,North-East,Individual,Under Construction
678,Maharashtra,Mumbai,Satellite,Apartment,4,1927,259.83,13483.65,1995,Unfurnished,18.0,27,29,0.0,1,3,2,Guard,,East,Agent,Under Construction
679,Tamil Nadu,Coimbatore,Powai,Apartment,2,860,64.19,7463.95,2010,Unfurnished,22.0,26,14,9.0,4,7,1,Gated,All,West,Agent,Available
680,Karnataka,Bangalore,Kondapur,Apartment,4,1943,101.36,5216.68,2008,,12.0,18,16,5.0,5,4,3,Gated,Gym,East,Agent,Available
